climate_relevance,climate_class_number,climate_class,meta_category,no_projects,effective_funding
1,0,Adaptation,Adaptation,96,435172486.24
1,1,Solar-energy,Mitigation,20,102166234.89
1,2,Bioenergy,Mitigation,2,4267292.42
1,3,Other-mitigation-projects,Mitigation,9,19324607.37
1,6,Nature_conservation,Environment,7,20621848.73
1,7,Other-environment-projects,Environment,12,55415893.95
1,8,Sustainable-land-use,Environment,35,115728539.39
1,10,Renewables-multiple,Mitigation,2,7993711.869999999
1,12,Energy-efficiency,Mitigation,3,12268698.06
